SchoolID SchoolName FamilyofSchools Ward LOI2014Score LOI2014Rank LOI2011Score LOI2011Rank LOI2009Score LOI2009Rank
1395 "Rosedale Heights School of the Arts" WR9 14 0.117062 95 0.161253 89 0.182552 90
1315 "Forest Hill Collegiate Institute" WR8 11 0.106679 96 0.078863 98 0.074616 101
1289 "City School" WR7 10 0.094608 97 0.083462 96 0.080465 99
430 "Earl Haig Secondary School" ER17 12 0.078738 98 0.109323 94 0.100082 96
1043 "Etobicoke Collegiate Institute" WR4 2 0.078618 99 0.081814 97 0.091604 97
1409 "Ursula Franklin Academy" WR7 7 0.057914 100 0.07238 100 0.087269 98
1338 "Inglenook Community School" WR9 14 0.050444 101 0.076861 99 0.076229 100
1335 "Humberside Collegiate Institute" WR7 7 0.050242 102 0.060258 101 0.052257 104
1372 "Northern Secondary School" WR8 11 0.049192 103 0.036069 104 0.028583 107
450 "York Mills Collegiate Institute" ER16 13 0.044449 104 0.038942 103 0.04423 105
1044 "Etobicoke School of the Arts" WR6 3 0.028063 105 0.045507 102 0.055917 103
1233 "Sir Oliver Mowat Collegiate Institute" ER13 22 0.02431 106 0.021666 107 0.022238 109
1013 "Leaside High School" ER16 13 0.024265 107 0.010291 108 0.010876 110
1358 "Malvern Collegiate Institute" ER11 16 0.019656 108 0.023189 106 0.030996 106
1371 "North Toronto Collegiate Institute" WR8 11 0.008644 109 0.023307 105 0.026976 108
1353 "Lawrence Park Collegiate Institute" WR3 8 0.000613 110 0.001203 109 0.001149 111
