SchoolID SchoolName FamilyofSchools Ward LOI2014Score LOI2014Rank LOI2011Score LOI2011Rank LOI2009Score LOI2009Rank
1177 "Ionview Public School" ER12 19 0.751326 119 0.732398 129 0.69858 147
1214 "Oakridge Junior Public School" ER12 18 0.751282 120 0.76152 116 0.758569 121
1852 "North Kipling Junior Middle School" WR1 1 0.742568 121 0.709407 144 0.775938 106
1094 "Westway Junior School" WR4 2 0.741114 122 0.598361 203 0.52076 236
1156 "General Crerar Public School" ER12 19 0.738544 123 0.846488 62 0.81737 80
135 "Humber Summit Middle School" WR1 4 0.738056 124 0.71907 139 0.743782 129
1388 "Queen Victoria Public School" WR7 7 0.735196 125 0.842835 64 0.878187 52
1183 "John A Leslie Public School" ER13 18 0.732595 126 0.66544 171 0.615341 190
1143 "Dorset Park Public School" ER12 19 0.730057 127 0.708798 147 0.783929 101
1394 "Rose Avenue Junior Public School" WR9 14 0.729875 128 0.76957 112 0.783778 102
1286 "Charles G Fraser Junior Public School" WR7 10 0.729723 129 0.719021 140 0.710141 142
1440 "Harwood Public School" WR5 6 0.723126 130 0.805614 95 0.810086 87
1210 "Norman Cook Junior Public School" ER12 18 0.722672 131 0.706421 149 0.686336 152
1159 "George Peck Public School" ER12 19 0.721487 132 0.572416 220 0.56175 219
1136 "Cornell Junior Public School" ER14 22 0.717286 133 0.74464 126 0.817302 81
1164 "Guildwood Junior Public School" ER13 22 0.715801 134 0.773539 109 0.71886 140
1125 "Cedarbrook Public School" ER14 19 0.715026 135 0.701162 156 0.691531 150
1099 "Alexander Stirling Public School" ER20 21 0.714988 136 0.646744 182 0.663736 164
1273 "Beverley School" WR9 10 0.714912 137 0.730337 131 0.780595 103
1354 "Leslieville Junior Public School" WR10 15 0.713522 138 0.80003 98 0.76826 112
1155 "General Brock Public School" ER12 18 0.712666 139 0.62145 192 0.704344 145
1007 "D A Morrison Middle School" ER11 16 0.710068 140 0.763787 114 0.713377 141
1165 "H A Halbert Junior Public School" ER13 18 0.70937 141 0.791626 104 0.760369 119
1086 "Twentieth Street Junior School" WR6 3 0.70801 142 0.724994 134 0.694202 149
1376 "Ogden Junior Public School" WR7 10 0.706067 143 0.709272 146 0.696817 148
1312 "Essex Junior and Senior Public School" WR9 10 0.705174 144 0.6824 162 0.560987 220
1004 "Chester Elementary School" WR10 15 0.702782 145 0.717493 141 0.672897 157
10 "Ancaster Public School" WR3 5 0.702764 146 0.642911 184 0.760922 117
129 "Gateway Public School" ER15 13 0.700964 147 0.701946 154 0.670177 159
1448 "Rawlinson Community School" WR8 9 0.698987 148 0.681484 163 0.667005 162
145 "Gracedale Public School" WR1 4 0.696571 149 0.628531 189 0.671304 158
1417 "William J McCordic School" ER11 16 0.692426 150 0.799661 99 0.800332 94
4077 "Downtown Vocal Music Academy of Toronto" WR7 10 0.691402 151 0.691402 151 0.691402 151
1012 "Gordon A Brown Middle School" ER11 16 0.691133 152 0.623489 190 0.649408 168
1147 "Edgewood Public School" ER14 19 0.688385 153 0.568687 222 0.636717 176
4076 "Vocal Music Academy at Heather Heights" ER20 22 0.687441 154 0.687441 154 0.687441 154
1386 "Perth Avenue Junior Public School" WR7 9 0.683859 155 0.653306 176 0.668705 160
1265 "Alexander Muir Gladstone Ave Junior and Senior Public School" WR7 9 0.678101 156 0.722946 135 0.746551 128
1184 "John Buchan Senior Public School" ER19 20 0.677293 157 0.651585 177 0.595983 200
1023 "Valley Park Middle School" ER16 13 0.676476 158 0.69999 157 0.678249 156
1028 "Beaumonde Heights Junior Middle School" WR1 1 0.676399 159 0.609691 197 0.59349 203
1139 "Danforth Gardens Public School" ER12 18 0.672959 160 0.770023 111 0.8161 82
1432 "F H Miller Junior Public School" WR8 9 0.67276 161 0.757356 118 0.701735 146
1063 "Melody Village Junior School" WR1 1 0.672657 162 0.731911 130 0.748864 127
240 "Roywood Public School" ER15 17 0.66902 163 0.648811 179 0.607418 195
130 "George Anderson Public School" WR5 6 0.66729 164 0.706213 150 0.758948 120
1052 "Islington Junior Middle School" WR6 3 0.665012 165 0.579587 213 0.520218 237
1180 "J G Workman Public School" ER12 18 0.664342 166 0.725885 133 0.731154 135
1302 "Duke of Connaught Junior and Senior Public School" ER11 16 0.657658 167 0.77016 110 0.793854 96
4078 "Fraser Mustard Early Learning Academy" ER16 13 0.656187 168 0.656187 999 0.656187 999
80 "Cresthaven Public School" ER17 12 0.653296 169 0.56576 224 0.621043 187
1048 "Hilltop Middle School" WR4 2 0.652443 170 0.576393 216 0.53134 232
1393 "Roden Public School" WR10 15 0.651829 171 0.720297 136 0.770096 110
1282 "Bruce Junior Public School" WR10 15 0.651487 172 0.818705 84 0.788711 99
1027 "Albion Heights Junior Middle School" WR1 1 0.651387 173 0.594861 207 0.522673 235
146 "Gracefield Public School" WR5 6 0.651232 174 0.647193 181 0.628319 180
274 "Victoria Village Public School" ER15 17 0.650932 175 0.63073 187 0.610815 193
228 "Pineway Public School" ER17 12 0.649687 176 0.535965 235 0.391792 308
1045 "George R Gauld Junior School" WR6 3 0.645153 177 0.531209 236 0.557964 222
1202 "Maryvale Public School" ER12 19 0.644842 178 0.715827 142 0.742758 130
181 "Rene Gordon Health and Wellness Academy" ER15 17 0.643527 179 0.604295 202 0.597971 199
1401 "Shirley Street Junior Public School" WR7 9 0.643061 180 0.705849 152 0.680559 154
1153 "Fleming Public School" ER20 21 0.642035 181 0.551789 227 0.552169 225
1120 "Buchanan Public School" ER12 19 0.641204 182 0.622842 191 0.628357 179
1194 "Lucy Maud Montgomery Public School" ER20 21 0.64085 183 0.596696 205 0.613889 192
1134 "Clairlea Public School" ER12 18 0.638166 184 0.650109 178 0.648905 169
1162 "Golf Road Junior Public School" ER14 19 0.636897 185 0.574577 217 0.577878 212
1167 "Heather Heights Junior Public School" ER20 22 0.636038 186 0.518741 246 0.586831 205
1406 "Sunny View Junior and Senior Public School" ER16 13 0.634067 187 0.706919 148 0.771137 108
1301 "Downtown Alternative Schoo"l WR9 14 0.630317 188 0.63786 185 0.539371 229
120 "Fenside Public School" ER15 17 0.628154 189 0.598032 204 0.553301 224
1025 "Westwood Middle School" WR10 15 0.627822 190 0.70171 155 0.627951 181
1160 "Glamorgan Junior Public School" ER15 20 0.626669 191 0.660177 174 0.686529 151
1036 "Claireville Junior School" WR1 1 0.626058 192 0.577467 214 0.626656 183
